cause,count,date
Children,159,01-1992
Children,262,02-1992
Children,342,03-1992
Children,494,04-1992
Children,488,05-1992
Children,247,06-1992
Children,271,07-1992
Children,239,08-1992
Children,141,09-1992
Children,165,10-1992
Children,54,11-1992
Children,54,12-1992
Children,53,01-1993
Children,116,02-1993
Children,142,03-1993
Children,403,04-1993
Children,343,05-1993
Children,304,06-1993
Children,362,07-1993
Children,229,08-1993
Children,191,09-1993
Children,167,10-1993
Children,114,11-1993
Children,77,12-1993
Children,97,01-1994
Children,170,02-1994
Children,392,03-1994
Children,787,04-1994
Children,407,05-1994
Children,321,06-1994
Children,301,07-1994
Children,221,08-1994
Children,149,09-1994
Children,105,10-1994
Children,169,11-1994
Children,82,12-1994
Children,59,01-1995
Children,208,02-1995
Children,482,03-1995
Children,789,04-1995
Children,300,05-1995
Children,251,06-1995
Children,336,07-1995
Children,296,08-1995
Children,201,09-1995
Children,147,10-1995
Children,105,11-1995
Children,136,12-1995
Children,129,01-1996
Children,333,02-1996
Children,388,03-1996
Children,590,04-1996
Children,422,05-1996
Children,215,06-1996
Children,384,07-1996
Children,221,08-1996
Children,110,09-1996
Children,116,10-1996
Children,89,11-1996
Children,42,12-1996
Children,120,01-1997
Children,137,02-1997
Children,361,03-1997
Children,640,04-1997
Children,383,05-1997
Children,237,06-1997
Children,299,07-1997
Children,212,08-1997
Children,216,09-1997
Children,132,10-1997
Children,71,11-1997
Children,76,12-1997
Children,90,01-1998
Children,127,02-1998
Children,307,03-1998
Children,650,04-1998
Children,311,05-1998
Children,371,06-1998
Children,324,07-1998
Children,216,08-1998
Children,181,09-1998
Children,205,10-1998
Children,191,11-1998
Children,136,12-1998
Children,129,01-1999
Children,255,02-1999
Children,511,03-1999
Children,743,04-1999
Children,276,05-1999
Children,277,06-1999
Children,271,07-1999
Children,252,08-1999
Children,216,09-1999
Children,158,10-1999
Children,243,11-1999
Children,186,12-1999
Children,219,01-2000
Children,287,02-2000
Children,559,03-2000
Children,493,04-2000
Children,383,05-2000
Children,292,06-2000
Children,370,07-2000
Children,268,08-2000
Children,164,09-2000
Children,213,10-2000
Children,133,11-2000
Children,111,12-2000
Children,262,01-2001
Children,224,02-2001
Children,282,03-2001
Children,548,04-2001
Children,441,05-2001
Children,216,06-2001
Children,258,07-2001
Children,235,08-2001
Children,171,09-2001
Children,265,10-2001
Children,480,11-2001
Children,155,12-2001
Children,138,01-2002
Children,492,02-2002
Children,351,03-2002
Children,455,04-2002
Children,296,05-2002
Children,308,06-2002
Children,312,07-2002
Children,252,08-2002
Children,113,09-2002
Children,50,10-2002
Children,68,11-2002
Children,71,12-2002
Children,130,01-2003
Children,70,02-2003
Children,185,03-2003
Children,614,04-2003
Children,234,05-2003
Children,165,06-2003
Children,251,07-2003
Children,157,08-2003
Children,125,09-2003
Children,142,10-2003
Children,87,11-2003
Children,90,12-2003
Children,153,01-2004
Children,141,02-2004
Children,387,03-2004
Children,447,04-2004
Children,237,05-2004
Children,178,06-2004
Children,186,07-2004
Children,90,08-2004
Children,46,09-2004
Children,53,10-2004
Children,53,11-2004
Children,70,12-2004
Children,104,01-2005
Children,164,02-2005
Children,286,03-2005
Children,481,04-2005
Children,272,05-2005
Children,155,06-2005
Children,211,07-2005
Children,135,08-2005
Children,235,09-2005
Children,142,10-2005
